日付タイプ,model,延べ台日,平均差枚,勝率%
曜:月,スマスロ ゴッドイーター リザレクション,40,55.3,22.5
曜:月,スマスロ化物語,36,-152.8,22.2
曜:月,忍魂参～奥義皆伝ノ章～,12,640.0,16.7
曜:月,回胴式遊技機グランベルム,30,-409.7,10.0
曜:木,ゴーゴージャグラー３,77,276.9,51.9
曜:木,パチスロ頭文字Ｄ,8,588.2,50.0
曜:木,ウルトラミラクルジャグラー,33,232.1,48.5
曜:木,パチスロ　甲鉄城のカバネリ,35,381.7,45.7
曜:木,Lパチスロ炎炎ノ消防隊2,33,-40.6,45.5
曜:木,この素晴らしい世界に祝福を！,31,313.6,45.2
曜:木,L真・一騎当千,27,-11.4,44.4
曜:木,Lゴジラ対エヴァンゲリオン,16,1013.2,43.8
曜:木,スマスロ 甲鉄城のカバネリ 海門決戦,77,-39.9,42.9
曜:木,スマスロ とある魔術の禁書目録2,21,-968.3,42.9
曜:木,スマスロ やじきた道中記参る！,21,184.7,42.9
曜:木,真打 吉宗,22,-290.1,40.9
曜:木,L東京喰種,77,350.0,40.3
曜:木,Lパチスロ革命機ヴァルヴレイヴ2,110,68.8,39.1
曜:木,L戦国乙女5 業火を穿つ宿焔の双刃,44,-419.9,38.6
曜:木,スマスロモンキーターンV,51,25.8,37.3
曜:木,スロット ソードアート・オンラインⅡ,33,-870.3,36.4
曜:木,ファンキージャグラー２ＫＴ,55,123.8,36.4
曜:木,回胴式遊技機グランベルム,33,185.9,36.4
曜:木,スロット ワールドダイスター,14,-626.6,35.7
曜:木,Lパチスロからくりサーカス2,62,-120.0,35.5
曜:木,スマスロ新鬼武者3,37,26.2,35.1
曜:木,Lパチスロ革命機ヴァルヴレイヴ,84,-208.6,34.5
曜:木,交響詩篇エウレカセブン HI-EVOLUTION ZERO TYPE-ART,12,6.2,33.3
曜:木,スマスロ 東京リベンジャーズ,33,849.5,33.3
曜:木,スマスロ ミリオンゴッド-神々の軌跡-,33,-108.5,33.3
曜:木,スマスロ北斗の拳 転生の章2,46,-44.9,32.6
曜:木,スマスロ モンスターハンターライズ,37,-413.4,32.4
曜:木,Lパチスロ かぐや様は告らせたい,37,-362.5,32.4
曜:木,L戦国乙女４　戦乱に閃く炯眼の軍師,22,-194.0,31.8
曜:木,スマスロ 攻殻機動隊,33,-554.1,30.3
曜:木,スマスロ化物語,40,402.1,30.0
曜:木,ヤバチバ,27,-57.3,29.6
曜:木,Lパチスロからくりサーカス,51,-22.5,29.4
曜:木,マイジャグラーV,121,-115.5,28.1
曜:木,スマスロ ゴッドイーター リザレクション,44,-93.4,27.3
曜:木,Lソードアート・オンライン,22,-363.5,27.3
曜:木,忍魂参～奥義皆伝ノ章～,12,-97.0,25.0
曜:木,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,44,-495.5,20.5
曜:木,L無職転生～異世界行ったら本気だす～,18,-1189.0,16.7
曜:木,スマスロ バイオハザードRE:3,31,-350.4,12.9
曜:木,スマスロ ストリートファイター6,14,-1875.9,7.1
曜:木,スマスロ ビッグドリーム THE GOLDEN PUSHER,10,-945.8,0.0
曜:木,スマスロ リコリス・リコイル,10,-2199.5,0.0
曜:水,スマスロ リコリス・リコイル,10,1314.5,70.0
曜:水,スマスロ モンスターハンターライズ,37,1165.5,62.2
曜:水,回胴式遊技機グランベルム,33,245.7,54.5
曜:水,スマスロ ストリートファイター6,14,178.7,50.0
曜:水,L真・一騎当千,27,-198.6,48.1
曜:水,パチスロ　甲鉄城のカバネリ,35,215.7,45.7
曜:水,ウルトラミラクルジャグラー,33,101.2,45.5
曜:水,L無職転生～異世界行ったら本気だす～,18,569.2,44.4
曜:水,スマスロモンキーターンV,51,472.0,43.1
曜:水,スマスロ とある魔術の禁書目録2,21,185.1,42.9
曜:水,マイジャグラーV,121,99.2,41.3
曜:水,Lパチスロからくりサーカス,51,736.7,41.2
曜:水,Lソードアート・オンライン,22,336.7,40.9
曜:水,この素晴らしい世界に祝福を！,31,-118.8,38.7
曜:水,Lパチスロ革命機ヴァルヴレイヴ,84,414.1,36.9
曜:水,L戦国乙女４　戦乱に閃く炯眼の軍師,22,709.0,36.4
曜:水,スマスロ ゴッドイーター リザレクション,44,-18.0,36.4
曜:水,ファンキージャグラー２ＫＴ,55,-116.4,36.4
曜:水,スロット ワールドダイスター,14,-649.6,35.7
曜:水,スマスロ バイオハザードRE:3,31,227.7,35.5
曜:水,Lパチスロ革命機ヴァルヴレイヴ2,110,285.7,35.5
曜:水,スマスロ 甲鉄城のカバネリ 海門決戦,77,-5.5,35.1
曜:水,ヤバチバ,27,-200.2,33.3
曜:水,忍魂参～奥義皆伝ノ章～,12,-215.5,33.3
曜:水,スマスロ 攻殻機動隊,33,-546.0,33.3
曜:水,L東京喰種,77,9.8,32.5
曜:水,Lパチスロからくりサーカス2,62,-299.6,32.3
曜:水,Lゴジラ対エヴァンゲリオン,16,392.1,31.2
曜:水,スマスロ 東京リベンジャーズ,33,-149.5,30.3
曜:水,ゴーゴージャグラー３,77,1.6,29.9
曜:水,スマスロ新鬼武者3,37,-309.0,29.7
曜:水,Lパチスロ かぐや様は告らせたい,37,-509.0,29.7
曜:水,L戦国乙女5 業火を穿つ宿焔の双刃,44,-819.3,29.5
曜:水,スマスロ やじきた道中記参る！,21,-1100.1,28.6
曜:水,真打 吉宗,22,-533.7,27.3
曜:水,スマスロ ミリオンゴッド-神々の軌跡-,33,-626.4,27.3
曜:水,スマスロ北斗の拳 転生の章2,46,80.3,26.1
曜:水,スマスロ化物語,40,-87.3,25.0
曜:水,交響詩篇エウレカセブン HI-EVOLUTION ZERO TYPE-ART,12,-257.8,25.0
曜:水,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,44,-214.5,25.0
曜:水,Lパチスロ炎炎ノ消防隊2,33,-486.2,24.2
曜:水,スロット ソードアート・オンラインⅡ,33,-2077.9,15.2
曜:水,パチスロ頭文字Ｄ,8,-661.0,12.5
曜:水,スマスロ ビッグドリーム THE GOLDEN PUSHER,10,-816.8,0.0
曜:火,ウルトラミラクルジャグラー,30,105.9,56.7
曜:火,忍魂参～奥義皆伝ノ章～,9,705.0,55.6
曜:火,スマスロ リコリス・リコイル,10,-159.5,50.0
曜:火,スマスロ 甲鉄城のカバネリ 海門決戦,70,96.0,48.6
曜:火,スマスロ モンスターハンターライズ,33,187.7,48.5
曜:火,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,40,438.4,45.0
曜:火,真打 吉宗,20,-556.1,45.0
曜:火,交響詩篇エウレカセブン HI-EVOLUTION ZERO TYPE-ART,9,27.3,44.4
曜:火,ファンキージャグラー２ＫＴ,50,77.7,42.0
曜:火,ゴーゴージャグラー３,70,-42.2,41.4
曜:火,パチスロ　甲鉄城のカバネリ,32,269.3,40.6
曜:火,スマスロモンキーターンV,47,90.6,40.4
曜:火,この素晴らしい世界に祝福を！,28,112.6,39.3
曜:火,スマスロ北斗の拳 転生の章2,41,-102.9,39.0
曜:火,Lパチスロ革命機ヴァルヴレイヴ,77,602.9,39.0
曜:火,Lゴジラ対エヴァンゲリオン,13,-303.5,38.5
曜:火,L真・一騎当千,24,-322.2,37.5
曜:火,L戦国乙女5 業火を穿つ宿焔の双刃,40,-72.9,37.5
曜:火,スマスロ ミリオンゴッド-神々の軌跡-,30,240.2,36.7
