日付タイプ,model,延べ台日,平均差枚,勝率%
曜:土,マイジャグラーV,125,114.6,50.4
曜:土,スマスロ ゴッドイーター リザレクション,12,-225.3,50.0
曜:土,L南国育ち SPECIAL,8,511.2,50.0
曜:土,スマスロ とある魔術の禁書目録2,68,522.5,50.0
曜:土,Lパチスロガールズ＆パンツァー 最終章,105,194.5,49.5
曜:土,スマスロ スーパーブラックジャック,210,392.7,49.5
曜:土,Lパチスロ かぐや様は告らせたい,37,829.3,48.6
曜:土,スマスロ シャーマンキング,30,1323.0,46.7
曜:土,L戦国乙女5 業火を穿つ宿焔の双刃,348,212.4,46.6
曜:土,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,645,311.1,45.0
曜:土,L無職転生～異世界行ったら本気だす～,105,197.7,44.8
曜:土,Lパチスロ革命機ヴァルヴレイヴ2,208,300.0,44.7
曜:土,L虚構推理,97,139.1,44.3
曜:土,スマスロ化物語,255,217.3,44.3
曜:土,Lソードアート・オンライン,240,256.4,44.2
曜:土,Lパチスロうみねこのなく頃に2,52,-96.9,44.2
曜:土,スロット ワールドダイスター,16,-372.5,43.8
曜:土,スマスロ 七つの魔剣が支配する,30,384.0,43.3
曜:土,スマスロ バイオハザードRE:3,60,442.4,43.3
曜:土,Lバンドリ！,150,350.9,43.3
曜:土,スマスロ 甲鉄城のカバネリ 海門決戦,221,241.8,43.0
曜:土,スマスロモンキーターンV,93,296.8,43.0
曜:土,スロット ソードアート・オンラインⅡ,212,370.9,42.9
曜:土,スマスロ ミリオンゴッド-神々の軌跡-,134,98.7,42.5
曜:土,L ToLOVEるダークネス,630,170.1,42.5
曜:土,スマスロヨルムンガンド,24,-87.7,41.7
曜:土,L邪神ちゃんドロップキック,24,447.2,41.7
曜:土,真打 吉宗,118,-206.5,41.5
曜:土,スマスロ スーパーリオエース2,189,-9.3,41.3
曜:土,Lアズールレーン THE ANIMATION,120,603.9,40.8
曜:土,アニマルスロット ドッチ,30,342.1,40.0
曜:土,L少女☆歌劇 レヴュースタァライト -The SLOT-,96,-145.1,37.5
曜:土,スマスロ とんでもスキルで異世界放浪メシ,24,352.2,37.5
曜:土,スマスロ ストリートファイター6,8,-262.0,37.5
曜:土,Lパチスロ炎炎ノ消防隊2,186,-38.2,36.6
曜:土,スマスロ 攻殻機動隊,84,-51.9,35.7
曜:土,戦国コレクション6,80,-384.5,35.0
曜:土,L戦国乙女４　戦乱に閃く炯眼の軍師,72,-505.3,34.7
曜:土,スマスロとある科学の超電磁砲2,88,-397.4,34.1
曜:土,回胴式遊技機グランベルム,30,-900.7,30.0
曜:土,Lタクトオーパス デスティニー,30,-316.8,30.0
曜:土,スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,39,-434.6,23.1
曜:日,L東京喰種,345,1016.5,52.2
曜:日,マイジャグラーV,125,269.8,50.4
曜:日,回胴式遊技機グランベルム,30,31.7,50.0
曜:日,スマスロ ストリートファイター6,8,261.0,50.0
曜:日,スロット ゾンビランドサガ,90,485.2,47.8
曜:日,L ToLOVEるダークネス,630,690.9,46.8
曜:日,Lソードアート・オンライン,240,689.2,46.2
曜:日,L邪神ちゃんドロップキック,24,569.2,45.8
曜:日,スマスロ スーパーブラックジャック,210,253.1,45.7
曜:日,L戦国乙女5 業火を穿つ宿焔の双刃,348,258.5,45.1
曜:日,L戦国乙女４　戦乱に閃く炯眼の軍師,72,493.1,44.4
曜:日,L虚構推理,97,21.3,44.3
曜:日,ネオアイムジャグラーEX,25,251.4,44.0
曜:日,スロット ワールドダイスター,16,733.5,43.8
曜:日,スマスロ 甲鉄城のカバネリ 海門決戦,221,26.3,43.0
