日付タイプ,model,延べ台日,平均差枚,勝率%
末尾:0,スマスロヨルムンガンド,12,-258.7,0.0
末尾:1,ハッピージャグラーＶＩＩＩ,30,209.9,50.0
末尾:1,スマスロ やじきた道中記参る！,18,-29.2,50.0
末尾:1,スマスロモンキーターンV,50,399.2,48.0
末尾:1,ウルトラミラクルジャグラー,40,82.0,47.5
末尾:1,Lパチスロ炎炎ノ消防隊2,34,407.5,47.1
末尾:1,スロット ソードアート・オンラインⅡ,50,409.0,44.0
末尾:1,スマスロ 甲鉄城のカバネリ 海門決戦,66,95.8,42.4
末尾:1,スマスロ ハナビ,38,27.9,42.1
末尾:1,ネオアイムジャグラーEX,50,38.0,42.0
末尾:1,Lスマスロ北斗の拳,60,191.5,41.7
末尾:1,L東京喰種,78,299.3,39.7
末尾:1,スマスロケロット5BT,16,279.1,37.5
末尾:1,戦国コレクション6,16,-77.6,37.5
末尾:1,Lタクトオーパス デスティニー,8,419.0,37.5
末尾:1,スマスロ リコリス・リコイル,16,321.5,37.5
末尾:1,真打 吉宗,50,-399.9,34.0
末尾:1,スマスロ 攻殻機動隊,12,-217.5,33.3
末尾:1,スマスロ とある魔術の禁書目録2,30,-84.3,33.3
末尾:1,スマスロ北斗の拳 転生の章2,116,69.2,32.8
末尾:1,マイジャグラーV,160,-169.3,31.9
末尾:1,ゴーゴージャグラー３,60,-128.5,31.7
末尾:1,Lパチスロからくりサーカス2,60,173.5,31.7
末尾:1,スマスロ化物語,16,36.4,31.2
末尾:1,ジャグラーガールズSS,40,-116.3,30.0
末尾:1,ファンキージャグラー２ＫＴ,80,-176.8,30.0
末尾:1,ミスタージャグラー,40,-158.6,27.5
末尾:1,L戦国乙女5 業火を穿つ宿焔の双刃,60,-1039.3,26.7
末尾:1,スマスロBIRDIE WING-Golf Girls’ Story-,16,-361.5,25.0
末尾:1,スマスロ スーパーリオエース2,30,40.7,23.3
末尾:1,スマスロ ストリートファイター6,24,-882.2,20.8
末尾:1,スマスロ サンダーV,20,-469.7,20.0
末尾:1,いざ！番長,30,-565.6,20.0
末尾:1,スマスロヨルムンガンド,16,81.8,18.8
末尾:1,スマスロ ミリオンゴッド-神々の軌跡-,62,-1590.7,17.7
末尾:1,スマスロ バイオハザードRE:3,24,-167.0,16.7
末尾:1,スロット ワールドダイスター,12,-1112.3,16.7
末尾:1,スマスロ ビッグドリーム THE GOLDEN PUSHER,16,-318.5,12.5
末尾:1,Lパチスロ彼女、お借りします,10,-1667.5,10.0
末尾:2,スマスロ 甲鉄城のカバネリ 海門決戦,52,262.3,51.9
末尾:2,スマスロ ストリートファイター6,20,468.8,50.0
末尾:2,Lパチスロ彼女、お借りします,10,935.0,50.0
末尾:2,ファンキージャグラー２ＫＴ,64,-76.2,45.3
末尾:2,スマスロ とある魔術の禁書目録2,25,-209.6,44.0
末尾:2,ウルトラミラクルジャグラー,32,-103.0,43.8
末尾:2,スマスロBIRDIE WING-Golf Girls’ Story-,12,-733.2,41.7
末尾:2,L戦国乙女5 業火を穿つ宿焔の双刃,48,-331.1,41.7
末尾:2,戦国コレクション6,12,-602.3,41.7
末尾:2,スマスロケロット5BT,12,-314.8,41.7
末尾:2,ミスタージャグラー,32,171.8,40.6
末尾:2,L東京喰種,62,575.2,40.3
末尾:2,Lパチスロからくりサーカス2,48,734.5,39.6
末尾:2,スマスロモンキーターンV,40,233.9,37.5
末尾:2,ハッピージャグラーＶＩＩＩ,24,-91.1,37.5
末尾:2,マイジャグラーV,128,-204.9,33.6
末尾:2,スマスロ 攻殻機動隊,9,-931.7,33.3
末尾:2,スマスロ やじきた道中記参る！,15,-444.4,33.3
末尾:2,スマスロ北斗の拳 転生の章2,92,-181.4,31.5
末尾:2,スマスロ リコリス・リコイル,16,-1201.5,31.2
末尾:2,ネオアイムジャグラーEX,40,-228.6,30.0
末尾:2,真打 吉宗,40,-102.6,30.0
末尾:2,スロット ワールドダイスター,10,-1479.6,30.0
末尾:2,Lパチスロ炎炎ノ消防隊2,27,-420.7,29.6
末尾:2,ゴーゴージャグラー３,48,-192.1,29.2
末尾:2,スマスロ バイオハザードRE:3,18,541.0,27.8
末尾:2,スロット ソードアート・オンラインⅡ,40,-852.9,27.5
末尾:2,Lスマスロ北斗の拳,48,-606.1,27.1
末尾:2,スマスロ化物語,12,-943.5,25.0
末尾:2,スマスロ スーパーリオエース2,24,-233.8,25.0
末尾:2,スマスロ ミリオンゴッド-神々の軌跡-,50,-1042.5,24.0
末尾:2,ジャグラーガールズSS,32,-402.1,21.9
末尾:2,いざ！番長,24,-281.9,20.8
末尾:2,スマスロ ハナビ,30,-232.6,20.0
末尾:2,スマスロ サンダーV,16,-345.2,18.8
末尾:2,スマスロヨルムンガンド,12,-156.3,16.7
末尾:2,スマスロ ビッグドリーム THE GOLDEN PUSHER,12,-1298.0,8.3
末尾:3,スマスロ サンダーV,16,330.4,62.5
末尾:3,スマスロ ストリートファイター6,20,507.6,55.0
末尾:3,ハッピージャグラーＶＩＩＩ,24,-26.0,54.2
末尾:3,L戦国乙女5 業火を穿つ宿焔の双刃,48,734.2,47.9
末尾:3,ウルトラミラクルジャグラー,32,-116.2,46.9
末尾:3,ミスタージャグラー,32,7.2,43.8
