daban,model,日数,平均差枚,プラス率%,最大差枚,最新差枚,スコア
4030,L D4DJ Pachi-Slot Mix,204,56.1,37.3,8829,-2594,0.2
3150,L ToLOVEるダークネス TRANCE ver.8.7,204,-51.2,39.7,12195,6902,0.199
4115,回胴式遊技機グランベルム,198,-77.8,39.9,5602,1701,0.199
2043,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,200,-21.8,39.5,8729,,0.198
2081,,200,-127.1,39.5,17418,17418,0.198
3004,,199,7.9,39.2,10789,2812,0.198
3085,L ToLOVEるダークネス TRANCE ver.8.7,197,-60.3,39.6,13420,,0.198
4031,アニマルスロット ドッチ,199,-183.4,39.7,7010,,0.198
4041,ハイスクールＤ×Ｄ２,200,-46.8,39.5,5315,409,0.198
4069,スマスロ 甲鉄城のカバネリ 海門決戦,199,-294.2,39.7,10104,1106,0.198
2012,,196,82.5,35.2,10210,,0.197
2139,L戦国乙女5 業火を穿つ宿焔の双刃,201,-78.1,39.3,12671,4407,0.197
2176,,198,8.5,38.9,11475,,0.197
3020,クレアの秘宝伝～はじまりの扉と太陽の石～ボーナストリガーver.,198,-109.0,39.4,5019,-1797,0.197
4004,スマスロ 甲鉄城のカバネリ 海門決戦,198,-215.2,39.4,8939,,0.197
4168,L東京喰種,201,-46.6,39.3,10239,5920,0.197
2131,L戦国乙女5 業火を穿つ宿焔の双刃,197,-13.2,39.1,13336,,0.195
3156,L ToLOVEるダークネス TRANCE ver.8.7,197,-49.7,39.1,13834,,0.195
4132,,200,-51.1,39.0,12012,2517,0.195
2061,,198,-19.1,38.9,12011,4708,0.194
3009,,198,-201.2,38.9,12885,7725,0.194
2068,スマスロとある科学の超電磁砲2,199,-33.6,38.7,13177,,0.193
2076,,199,67.3,35.2,14644,,0.193
2158,,202,-304.3,38.6,15001,10119,0.193
3054,,199,-348.6,38.7,16208,1209,0.193
2159,,198,-299.7,38.4,15024,,0.192
4143,Lアズールレーン THE ANIMATION,201,20.0,37.3,12218,,0.192
3014,,198,8.3,37.9,12032,,0.191
3018,,199,-25.1,38.2,10802,108,0.191
4084,L東京喰種,199,-56.4,38.2,11783,7701,0.191
4125,,198,88.2,33.8,12613,1403,0.191
2021,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,200,10.8,37.5,15211,4109,0.19
3062,,200,-140.8,38.0,11096,2716,0.19
4142,,197,-266.3,38.1,12116,,0.19
2008,,198,-126.8,37.9,18828,,0.189
3058,,198,-88.9,37.9,17552,,0.189
3068,,201,-193.1,37.8,10245,2896,0.189
4064,スマスロ 甲鉄城のカバネリ 海門決戦,198,-121.1,37.9,8713,,0.189
4140,,204,-127.4,37.7,12116,303,0.189
3152,L ToLOVEるダークネス TRANCE ver.8.7,200,-72.4,37.5,15405,,0.188
4019,スマスロ 攻殻機動隊,197,-50.3,37.6,16215,,0.188
3015,,198,-75.8,37.4,15995,4010,0.187
3063,,198,-19.0,37.4,15657,,0.187
2130,L戦国乙女5 業火を穿つ宿焔の双刃,204,-290.1,37.3,14669,-3609,0.186
3003,,199,-83.9,37.2,15117,,0.186
3008,,199,-40.3,37.2,12609,10401,0.186
3087,L ToLOVEるダークネス TRANCE ver.8.7,199,-112.1,37.2,18472,,0.186
4086,L東京喰種,196,-279.5,37.2,10590,2905,0.186
4119,回胴式遊技機グランベルム,199,30.8,35.7,8304,408,0.186
2162,,200,-147.6,37.0,17554,10008,0.185
2166,,200,-162.4,37.0,19067,3032,0.185
4027,アニマルスロット ドッチ,200,-185.1,37.0,10236,4105,0.185
4062,スマスロ 甲鉄城のカバネリ 海門決戦,200,-114.1,37.0,13417,,0.185
4096,,199,78.4,33.2,10873,,0.185
4108,,197,-1.8,37.1,6927,,0.185
2034,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,198,-8.9,36.9,8597,307,0.184
3012,,198,-63.2,36.9,11924,,0.184
3044,,198,-129.8,36.9,4509,,0.184
3064,,201,-287.9,36.8,11980,5918,0.184
4122,,198,-87.2,36.9,13686,1714,0.184
4091,,199,-195.7,36.7,8591,,0.183
4134,,199,-120.7,36.7,9385,,0.183
2075,,198,103.2,31.3,12524,,0.182
2065,スマスロ ゴッドイーター リザレクション,199,-44.0,36.2,12887,,0.181
3010,,204,-108.2,36.3,17317,3704,0.181
2007,,200,-267.5,36.0,13275,1205,0.18
3005,,200,-219.0,36.0,18825,2006,0.18
3145,,200,-47.1,36.0,11485,1808,0.18
4067,スマスロ 甲鉄城のカバネリ 海門決戦,197,-309.8,36.0,9779,,0.18
4135,,200,-0.7,36.0,13597,802,0.18
2113,L戦国乙女5 業火を穿つ宿焔の双刃,198,-90.4,35.9,15108,1701,0.179
3090,,204,-128.3,35.8,15507,-7387,0.179
4098,,196,-35.4,35.7,8533,,0.179
4150,スマスロモンキーターンV,204,-33.4,35.8,10803,-899,0.179
2066,スマスロとある科学の超電磁砲2,199,-34.9,35.7,11003,,0.178
3059,,198,30.6,33.8,13839,,0.177
4057,,200,-231.4,35.5,8610,2502,0.177
2112,L戦国乙女5 業火を穿つ宿焔の双刃,196,-109.6,35.2,13332,,0.176
4038,パチスロ見える子ちゃん,199,-120.3,35.2,8503,4602,0.176
4040,Lタクトオーパス デスティニー,204,-84.1,35.3,9003,-3108,0.176
4101,,199,-192.3,35.2,10804,109,0.176
3019,,197,-230.9,35.0,9774,,0.175
