日付タイプ,model,延べ台日,平均差枚,勝率%
曜:日,スマスロ シャーマンキング,16,-1068.5,25.0
曜:日,スマスロ ストリートファイター6,12,-867.3,25.0
曜:日,スマスロ ハナビ,49,0.0,24.5
曜:日,アレックス ブライト,22,-458.9,22.7
曜:日,Lパチスロからくりサーカス,21,-697.7,19.0
曜:日,スマスロ ビッグドリーム THE GOLDEN PUSHER,29,-1731.5,10.3
曜:日,Lソードアート・オンライン,10,-1095.5,10.0
曜:月,アレックス ブライト,20,245.6,65.0
曜:月,A-SLOT+ ディスクアップ ULTRAREMIX,20,599.2,65.0
曜:月,ローティス,8,782.5,62.5
曜:月,マイジャグラーV,672,402.7,55.5
曜:月,戦国コレクション6,24,908.1,54.2
曜:月,Lソードアート・オンライン,10,-5.5,50.0
曜:月,ニューキングハナハナV‐30,42,19.6,45.2
曜:月,沖ドキ!ゴージャス 30Φ,98,-252.2,44.9
曜:月,ネオアイムジャグラーEX,364,120.1,44.8
曜:月,L戦国乙女5 業火を穿つ宿焔の双刃,96,125.2,44.8
曜:月,ファンキージャグラー２ＫＴ,111,68.7,44.1
曜:月,ハッピージャグラーＶＩＩＩ,57,55.4,43.9
曜:月,沖ドキ！ＧＯＬＤ-30,224,-196.7,43.8
曜:月,ミスタージャグラー,42,160.4,42.9
曜:月,沖ドキ！BLACK,56,-271.3,42.9
曜:月,スマスロ ビッグドリーム THE GOLDEN PUSHER,26,653.9,42.3
曜:月,ゴーゴージャグラー３,196,36.6,40.8
曜:月,スマスロモンキーターンV,108,140.6,39.8
曜:月,Lスマスロ北斗の拳,88,10.6,39.8
曜:月,スマスロ 東京リベンジャーズ,42,192.0,38.1
曜:月,スロット ソードアート・オンラインⅡ,90,-216.9,37.8
曜:月,スマスロ ストリートファイター6,16,-239.8,37.5
曜:月,スマスロ やじきた道中記参る！,16,188.5,37.5
曜:月,スロット ワールドダイスター,8,-1279.5,37.5
曜:月,スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,22,203.3,36.4
曜:月,スマート沖スロ ニューキングハナハナV,69,15.6,36.2
曜:月,Lパチスロからくりサーカス2,72,-273.0,36.1
曜:月,チバリヨ2,42,212.9,35.7
曜:月,スマスロ ゴッドイーター リザレクション,42,-320.4,35.7
曜:月,ウルトラミラクルジャグラー,56,-133.9,35.7
曜:月,Lパチスロうみねこのなく頃に2,20,48.0,35.0
曜:月,キングハナハナ-30,140,-3.4,35.0
曜:月,スマスロ とある魔術の禁書目録2,20,-407.0,35.0
曜:月,Lアズールレーン THE ANIMATION,38,-164.5,34.2
曜:月,沖ドキ！ＧＯＬＤ,18,-50.0,33.3
曜:月,スマスロヨルムンガンド,12,-72.2,33.3
曜:月,L ToLOVEるダークネス TRANCE ver.8.7,42,-35.9,33.3
曜:月,L南国育ち SPECIAL,24,-39.6,33.3
曜:月,ジャグラーガールズSS,70,-172.4,32.9
曜:月,スマスロ 甲鉄城のカバネリ 海門決戦,196,-118.4,32.7
曜:月,Lラブ嬢3～Wご指名はいかがですか?～,28,79.4,32.1
曜:月,スマスロバジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,50,190.3,32.0
曜:月,Lパチスロ革命機ヴァルヴレイヴ2,48,-260.8,31.2
曜:月,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,84,26.1,31.0
曜:月,スマスロ北斗の拳 転生の章2,172,338.9,30.8
曜:月,L東京喰種,244,-121.8,30.7
曜:月,プリズムナナ,10,-76.6,30.0
曜:月,Lパチスロ炎炎ノ消防隊2,84,-188.0,29.8
曜:月,ヤバチバ,24,-733.1,29.2
曜:月,L聖闘士星矢 海皇覚醒 CUSTOM EDITION,42,-198.1,28.6
曜:月,スマスロ 攻殻機動隊,56,-101.2,28.6
曜:月,スマスロBIRDIE WING-Golf Girls’ Story-,14,-57.1,28.6
曜:月,スマスロ化物語,66,110.8,27.3
曜:月,L戦国乙女４　戦乱に閃く炯眼の軍師,50,9.6,26.0
曜:月,スマスロ ハナビ,48,-261.3,25.0
曜:月,スマスロ ミリオンゴッド-神々の軌跡-,140,-514.6,25.0
曜:月,真打 吉宗,84,-445.9,25.0
曜:月,スマスロ 沖ドキ!DUO アンコール,50,-235.8,24.0
曜:月,いざ！番長,42,-91.1,23.8
曜:月,スマスロ モンスターハンターライズ,42,-95.4,23.8
曜:月,L主役は銭形5,30,-40.7,23.3
曜:月,スマスロ スーパーリオエース2,54,-105.2,22.2
曜:月,スマスロ スーパーブラックジャック,28,67.1,21.4
曜:月,スマスロ バイオハザードRE:3,54,-380.3,20.4
曜:月,Lパチスロ かぐや様は告らせたい,30,-97.3,20.0
