daban,model,日数,平均差枚,プラス率%,最大差枚,最新差枚,スコア
3097,,191,358.2,37.7,11939,-1298,0.278
2087,,191,193.5,45.0,5396,0,0.274
2131,,190,200.7,44.7,4310,309,0.274
2132,,191,185.9,45.5,4405,1610,0.274
2177,,191,144.1,47.6,5113,-293,0.274
2059,,191,182.4,45.5,4002,1001,0.273
3109,,191,306.0,39.3,10595,-1099,0.273
2017,,191,208.9,44.0,4008,-397,0.272
2091,,190,140.8,47.4,6121,2114,0.272
2106,,191,230.7,42.9,4596,-891,0.272
2053,,191,194.9,44.5,4309,1201,0.271
2062,,191,183.1,45.0,3996,-1290,0.271
3027,,191,246.9,41.9,9115,306,0.271
2066,,191,169.6,45.5,3591,-1094,0.27
2013,,191,154.5,46.1,5116,0,0.269
2024,,191,164.0,45.5,4403,1102,0.269
3098,,186,354.1,36.0,15409,2609,0.269
2133,,191,118.4,47.6,3811,2319,0.268
3023,,191,361.2,35.6,12528,1700,0.268
3100,,191,382.5,34.6,16879,-1999,0.268
2007,,191,144.5,46.1,4515,-794,0.266
2070,,191,109.7,47.6,5111,-298,0.266
2080,,191,193.6,43.5,3590,103,0.266
2099,,191,132.7,46.6,4104,506,0.266
2025,,191,198.0,42.9,5113,908,0.264
2051,,190,182.0,43.7,5686,1307,0.264
3133,,191,233.8,40.8,14232,-3299,0.263
2130,,191,134.2,45.5,4806,2315,0.261
3090,,191,184.6,42.9,7788,1209,0.261
2065,,191,152.0,44.0,4004,-91,0.258
2121,,190,148.9,44.2,5194,3200,0.258
