daban,model,日数,平均差枚,プラス率%,最大差枚,最新差枚,スコア
1156,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,200,493.3,44.5,11581,,0.346
1151,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,201,435.8,47.3,11023,,0.345
1268,L ToLOVEるダークネス,202,469.2,45.5,16953,1395,0.345
1261,L ToLOVEるダークネス,202,473.2,45.0,18372,3627,0.344
627,パチスロ　アイドルマスター　ミリオンライブ！,200,380.9,49.5,6604,302,0.343
687,,204,431.7,47.1,18837,5441,0.343
615,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,203,402.8,48.3,8930,,0.342
1201,,203,501.1,43.3,13837,,0.342
1257,L ToLOVEるダークネス,201,480.2,44.3,18604,3000,0.341
1232,L ToLOVEるダークネス,202,488.0,43.6,12697,,0.34
1021,L戦国乙女5 業火を穿つ宿焔の双刃,203,390.8,48.3,11720,1953,0.339
1077,Lソードアート・オンライン,201,500.1,42.8,12209,906,0.339
675,,204,439.5,45.6,18604,186,0.338
808,L東京喰種,199,356.2,49.7,10604,,0.338
1275,L ToLOVEるダークネス,203,475.9,43.8,18837,2744,0.338
777,L東京喰種,202,425.4,46.0,15906,5488,0.337
833,Lパチスロ炎炎ノ消防隊2,200,447.4,45.0,16534,1953,0.337
1226,スマスロ 甲鉄城のカバネリ 海門決戦,197,450.9,44.7,12697,,0.336
1165,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,201,436.0,45.3,10883,,0.335
601,Lバンドリ！,198,492.9,41.9,15627,,0.333
771,スマスロ スーパーブラックジャック,198,424.1,44.9,11720,,0.331
1271,L ToLOVEるダークネス,200,454.3,43.5,18604,,0.331
731,スマスロ やじきた道中記参る！,202,349.6,48.5,14325,1209,0.33
1008,L戦国乙女5 業火を穿つ宿焔の双刃,203,443.2,43.8,18604,302,0.33
1207,,198,417.4,44.9,15627,,0.329
620,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,207,425,44.4,15069,-419,0.328
1183,,201,407.2,45.3,14883,5581,0.328
1185,,198,483.7,41.4,16744,,0.328
1223,スマスロ 甲鉄城のカバネリ 海門決戦,199,437.0,43.7,13674,930,0.328
877,,204,406.1,45.1,11883,,0.327
885,L無職転生～異世界行ったら本気だす～,200,483.7,41.0,15069,,0.326
1200,,207,411.1,44.4,17581,-140,0.325
1086,Lソードアート・オンライン,199,460.0,41.7,16534,,0.324
801,L東京喰種,195,357.8,46.7,13837,,0.323
802,L東京喰種,201,373.7,45.8,11162,,0.322
1003,L戦国乙女5 業火を穿つ宿焔の双刃,205,415.8,43.4,12534,790,0.321
1010,L戦国乙女5 業火を穿つ宿焔の双刃,207,443.0,42.0,17581,5767,0.321
1072,SHAKE BONUS TRIGGER,200,343.0,47.0,14697,1813,0.321
1081,Lソードアート・オンライン,203,477.3,40.4,9906,3906,0.321
1250,L ToLOVEるダークネス,207,427.9,42.5,16953,1674,0.32
780,L東京喰種,207,503.8,38.6,16116,-4954,0.319
1172,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,202,443.7,41.6,12209,2744,0.319
1050,,207,420.6,42.5,17372,465,0.318
827,スマスロ スーパーリオエース2,199,433.1,41.7,12860,,0.317
828,スマスロ スーパーリオエース2,200,369.2,45.0,13186,3302,0.317
1073,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,203,432.4,41.4,12209,,0.315
1080,Lソードアート・オンライン,207,392.4,43.5,13511,0,0.315
1136,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,201,393.8,43.3,11302,6046,0.315
1175,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,199,346.8,45.7,10186,,0.315
838,Lパチスロ炎炎ノ消防隊2,203,328.5,46.3,9627,,0.314
1121,,203,379.3,43.8,15488,,0.314
882,L無職転生～異世界行ったら本気だす～,202,380.2,43.6,12697,,0.313
712,,203,212.1,51.7,4395,,0.312
766,スマスロ スーパーブラックジャック,199,332.9,45.7,15813,,0.312
770,スマスロ スーパーブラックジャック,207,407.5,42.0,18604,-3582,0.312
1256,L ToLOVEるダークネス,201,331.7,45.8,16953,,0.312
1018,L戦国乙女5 業火を穿つ宿焔の双刃,202,270.8,48.5,12837,,0.31
1135,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,201,343.4,44.8,11302,,0.31
1230,L ToLOVEるダークネス,207,510.1,36.2,18490,1953,0.309
1233,L ToLOVEるダークネス,202,385.5,42.6,16534,,0.309
1137,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,202,391.0,42.1,18604,3023,0.308
1157,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,201,295.7,46.8,13023,,0.308
1186,,201,365.3,43.3,16953,11883,0.308
625,この素晴らしい世界に祝福を！,200,239.5,49.5,5162,,0.307
663,,202,377.0,42.6,18000,6232,0.307
607,Lバンドリ！,199,389.5,41.7,14883,,0.306
673,,204,311.2,45.6,14000,1813,0.306
873,,202,402.2,41.1,18604,,0.306
1122,,201,337.2,44.3,14139,,0.306
805,L東京喰種,200,309.3,45.5,15255,0,0.305
1005,L戦国乙女5 業火を穿つ宿焔の双刃,199,406.5,40.7,16116,5488,0.305
1163,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,200,305.7,45.5,12860,2744,0.304
1171,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,202,295.6,45.5,8372,3906,0.302
628,パチスロ戦国恋姫,202,283.3,46.0,6604,604,0.301
1216,スマスロ 甲鉄城のカバネリ 海門決戦,201,297.8,45.3,10604,,0.301
1263,L ToLOVEるダークネス,202,293.2,45.5,12000,,0.301
1281,L ToLOVEるダークネス,202,354.0,42.6,16534,0,0.301
667,,199,316.8,44.2,18604,2558,0.3
781,L東京喰種,202,291.0,45.5,11441,,0.3
